"Fly_Number","DurNBodyShovePAL","DurNBodyShovePAN","DurNFeedPAL","DurNFeedPAN","DurNHeadbuttPAL","DurNHeadbuttPAN","DurNLegShovePAL","DurNLegShovePAN","DurNLungePAL","DurNLungePAN","DurNWingThreatPAL","DurNWingThreatPAN","DurNRetreatPAL","DurNRetreatPAN","DurNMovingPAL","DurNMovingPAN","DurNFencingPAL","DurNFencingPAN","DurTTFeedPAL","DurTTFeedPAN","DurTTMovingPAL","DurTTMovingPAN","DurTTFencingPAL","DurTTFencingPAN","DurXFeedPAL","DurXFeedPAN","DurXMovingPAL","DurXMovingPAN","DurXFencingPAL","DurXFencingPAN"
"D12_8",1,0,8,4,0,0,16,6,0,0,1,0,2,0,33,17,14,14,92.819,432.721,370.664,102.737,601.081,601.332,11.602379999999998,108.18025,11.23224,6.04335,42.93436,42.95229
"D13_14",0,0,16,3,0,1,13,3,2,2,2,1,0,1,31,35,17,17,464.81,79.737,268.317,422.82,892.875,892.875,29.05062,26.579,8.655389999999999,12.08057,52.522059999999996,52.522059999999996
"D13_16",0,0,2,3,0,0,21,10,2,0,11,0,0,1,16,28,15,15,185.035,98.24,323.938,443.987,863.842,863.842,92.5175,32.74667,20.246119999999998,15.85668,57.58947,57.58947
"D14_20",0,0,0,7,0,0,0,0,0,0,0,0,0,0,22,20,0,0,0,703.75,128.502,104.91,0,0,0,100.53571000000001,5.841,5.2455,0,0
"D14_24",0,0,14,1,0,0,10,1,0,1,0,0,1,4,16,29,18,18,561.13,34.275,263.881,540.78,833.317,834.069,40.080709999999996,34.275,16.49256,18.64759,46.29539,46.33717
"D21_26",0,0,4,1,0,0,0,0,0,0,1,0,0,0,49,3,0,0,97.294,109.826,319.931,74.567,0,0,24.3235,109.826,6.5291999999999994,24.85567,0,0
"D21_30",0,0,1,4,0,0,4,1,0,0,0,0,0,0,22,16,6,6,65.761,481.159,278.99,167.645,851.833,851.833,65.761,120.28975,12.68136,10.47781,141.97217,141.97217
"D22_32",0,0,6,3,0,0,6,1,0,0,0,0,0,0,9,31,2,2,709.798,213.83,57.909,496.007,459.436,459.436,118.29966999999999,71.27667,6.43433,16.00023,229.718,229.718
"D22_34",0,0,2,7,0,0,1,0,0,0,0,0,0,0,25,17,0,0,54.748,325.814,337.525,396.331,0,0,27.374,46.54486,13.501,23.31359,0,0
"D23_39",0,0,1,6,0,0,7,0,0,0,0,0,0,0,19,11,8,8,33.776,645.559,214.093,117.524,870.343,870.343,33.776,107.59317,11.268049999999999,10.684,108.79288000000001,108.79288000000001
"D23_42",3,0,5,9,0,0,12,3,0,0,0,0,1,0,12,10,6,6,253.813,232.8,301.398,156.472,894.594,894.594,50.7626,25.86667,25.1165,15.647200000000002,149.099,149.099
"D24_44",0,0,5,2,0,0,4,0,0,0,0,0,0,2,26,23,2,3,87.243,30.792,354.28,351.65,609.586,608.842,17.4486,15.396,13.626149999999999,15.289129999999998,304.793,202.94733
"D24_46",0,0,2,14,0,0,1,0,0,0,0,0,3,0,27,41,5,5,3.848,344.478,548.377,298.839,877.614,877.614,1.924,24.60557,20.31026,7.28876,175.5228,175.5228
"D24_47",0,0,3,5,0,0,3,0,0,0,0,0,0,0,44,33,7,7,52.81,260.907,400.53,326.821,791.513,791.513,17.603330000000003,52.181400000000004,9.10295,9.90367,113.07329,113.07329
"D24_48",0,0,1,4,0,0,4,1,0,0,0,0,0,1,13,21,4,4,1.516,451.776,99.893,157.782,882.619,882.619,1.516,112.944,7.68408,7.5134300000000005,220.65475,220.65475
"D31_53",0,0,4,5,0,0,3,2,0,0,0,0,0,4,6,7,6,6,423.798,559.688,47.432,49.96,881.373,881.373,105.9495,111.9376,7.90533,7.1371400000000005,146.8955,146.8955
"D31_54",0,0,2,4,0,0,14,1,0,1,0,0,0,0,1,5,3,3,895.631,666.868,4.364,78.639,900.003,900.003,447.8155,166.717,4.364,15.727799999999998,300.001,300.001
