Fly_Number,file_name,Letter,Sex,Temp,temp_room,Species,Mass,mass_dif
C23_41,C23,C,F,H,30,PAN,NA,0.416
C23_41,C23,C,F,H,30,PAL,0.416,0.416
C23_42,C23,C,F,H,30,PAN,0.281,0.2869999999999999
C23_42,C23,C,F,H,30,PAL,0.568,0.2869999999999999
C24_43,C24,C,M,H,30,PAN,0.188,0.10499999999999998
C24_43,C24,C,M,H,30,PAL,0.293,0.10499999999999998
C24_44,C24,C,M,H,30,PAN,0.176,0.10799999999999998
C24_44,C24,C,M,H,30,PAL,0.284,0.10799999999999998
C24_45,C24,C,M,H,30,PAN,0.176,0.14800000000000002
C24_45,C24,C,M,H,30,PAL,0.324,0.14800000000000002
C24_46,C24,C,M,H,30,PAN,0.177,0.182
C24_46,C24,C,M,H,30,PAL,0.359,0.182
C24_47,C24,C,M,H,30,PAN,NA,0.313
C24_47,C24,C,M,H,30,PAL,0.313,0.313
C24_48,C24,C,M,H,30,PAN,0.174,0.183
C24_48,C24,C,M,H,30,PAL,0.357,0.183
C31_49,C31,C,F,M,25,PAN,NA,0.46
C31_49,C31,C,F,M,25,PAL,0.46,0.46
C31_50,C31,C,F,M,25,PAN,NA,0.555
C31_50,C31,C,F,M,25,PAL,0.555,0.555
C31_51,C31,C,F,M,25,PAN,0.251,0.267
C31_51,C31,C,F,M,25,PAL,0.518,0.267
C31_52,C31,C,F,M,25,PAN,0.271,0.29999999999999993
C31_52,C31,C,F,M,25,PAL,0.571,0.29999999999999993
C31_53,C31,C,F,M,25,PAN,0.251,0.33499999999999996
C31_53,C31,C,F,M,25,PAL,0.586,0.33499999999999996
C31_54,C31,C,F,M,25,PAN,0.245,0.18
C31_54,C31,C,F,M,25,PAL,0.425,0.18
C32_55,C32,C,M,M,25,PAN,0.165,0.12799999999999997
C32_55,C32,C,M,M,25,PAL,0.293,0.12799999999999997
C32_56,C32,C,M,M,25,PAN,0.153,0.18900000000000003
C32_56,C32,C,M,M,25,PAL,0.342,0.18900000000000003
C32_57,C32,C,M,M,25,PAN,0.174,0.14
C32_57,C32,C,M,M,25,PAL,0.314,0.14
C32_58,C32,C,M,M,25,PAN,0.158,0.18200000000000002
C32_58,C32,C,M,M,25,PAL,0.34,0.18200000000000002
C32_59,C32,C,M,M,25,PAN,0.161,0.17200000000000001
C32_59,C32,C,M,M,25,PAL,0.333,0.17200000000000001
C32_60,C32,C,M,M,25,PAN,0.172,0.20900000000000002
C32_60,C32,C,M,M,25,PAL,0.381,0.20900000000000002
C33_61,C33,C,F,M,25,PAN,0.28,0.23099999999999998
C33_61,C33,C,F,M,25,PAL,0.511,0.23099999999999998
C33_62,C33,C,F,M,25,PAN,0.241,0.30300000000000005
C33_62,C33,C,F,M,25,PAL,0.544,0.30300000000000005
C33_63,C33,C,F,M,25,PAN,0.259,0.32299999999999995
C33_63,C33,C,F,M,25,PAL,0.582,0.32299999999999995
C33_64,C33,C,F,M,25,PAN,0.26,0.32999999999999996
C33_64,C33,C,F,M,25,PAL,0.59,0.32999999999999996
C33_65,C33,C,F,M,25,PAN,0.285,0.196
C33_65,C33,C,F,M,25,PAL,0.481,0.196
C33_66,C33,C,F,M,25,PAN,NA,0.553
C33_66,C33,C,F,M,25,PAL,0.553,0.553
C34_67,C34,C,M,M,25,PAN,0.187,0.11199999999999999
C34_67,C34,C,M,M,25,PAL,0.299,0.11199999999999999
C34_68,C34,C,M,M,25,PAN,0.169,0.164
C34_68,C34,C,M,M,25,PAL,0.333,0.164
C34_69,C34,C,M,M,25,PAN,0.161,0.168
C34_69,C34,C,M,M,25,PAL,0.329,0.168
C34_70,C34,C,M,M,25,PAN,0.189,0.14200000000000002
C34_70,C34,C,M,M,25,PAL,0.331,0.14200000000000002
C34_71,C34,C,M,M,25,PAN,0.143,0.18000000000000002
C34_71,C34,C,M,M,25,PAL,0.323,0.18000000000000002
C34_72,C34,C,M,M,25,PAN,NA,NA
C34_72,C34,C,M,M,25,PAL,NA,NA
D11_1,D11,D,M,M,25.6,PAN,0.154,0.18300000000000002
D11_1,D11,D,M,M,25.6,PAL,0.337,0.18300000000000002
D11_2,D11,D,M,M,25.6,PAN,0.177,0.15400000000000003
D11_2,D11,D,M,M,25.6,PAL,0.331,0.15400000000000003
D11_3,D11,D,M,M,25.6,PAN,0.157,0.18000000000000002
D11_3,D11,D,M,M,25.6,PAL,0.337,0.18000000000000002
D11_4,D11,D,M,M,25.6,PAN,0.15,0.17500000000000002
D11_4,D11,D,M,M,25.6,PAL,0.325,0.17500000000000002
D11_5,D11,D,M,M,25.6,PAN,0.188,0.137
D11_5,D11,D,M,M,25.6,PAL,0.325,0.137
D11_6,D11,D,M,M,25.6,PAN,0.166,0.16
D11_6,D11,D,M,M,25.6,PAL,0.326,0.16
