Fly_Number,Letter,Temp,Sex,temp_room,bouts,mass_dif,TTBouts,resolved,loses,draws,wins,Species,Mass
C13_16,C,L,F,20.9,12,0.189,532.499,2,2,10,0,PAN,0.286
C13_17,C,L,F,20.9,11,0.256,848.684,4,2,7,2,PAN,0.26
C13_18,C,L,F,20.9,0,0.24499999999999997,0,0,0,0,0,PAN,0.229
C14_19,C,L,M,20.9,5,0.155,779.263,2,2,4,0,PAN,0.152
C14_22,C,L,M,20.9,9,0.10600000000000004,832.564,4,4,5,0,PAN,0.174
C14_24,C,L,M,20.9,4,0.344,600.351,4,4,0,0,PAN,0
C21_25,C,H,F,30,1,0.321,454.422,0,0,1,0,PAN,0.202
C21_26,C,H,F,30,0,0.22199999999999998,0,0,0,0,0,PAN,0.265
C21_30,C,H,F,30,8,0.32599999999999996,660.848,1,1,7,0,PAN,0.259
C22_36,C,H,M,30,0,0.146,0,0,0,0,0,PAN,0.171
C23_38,C,H,F,30,3,0.29600000000000004,809.029,1,1,2,0,PAN,0.251
C23_42,C,H,F,30,0,0.2869999999999999,0,0,0,0,0,PAN,0.281
C24_44,C,H,M,30,3,0.10799999999999998,774.984,0,0,3,0,PAN,0.176
C24_46,C,H,M,30,4,0.182,752.983,0,0,3,0,PAN,0.177
C31_50,C,M,F,25,10,0.555,881.615,3,3,6,0,PAN,0
C31_52,C,M,F,25,6,0.29999999999999993,583.568,2,1,4,1,PAN,0.271
C32_55,C,M,M,25,7,0.12799999999999997,871.86,2,1,5,1,PAN,0.165
C32_60,C,M,M,25,4,0.20900000000000002,879.867,0,0,4,0,PAN,0.172
C33_63,C,M,F,25,10,0.32299999999999995,888.121,2,2,8,0,PAN,0.259
C34_70,C,M,M,25,0,0.14200000000000002,0,0,0,0,0,PAN,0.189
D12_10,D,M,F,25.3,11,0.267,854.091,1,1,10,0,PAN,0.225
D12_7,D,M,F,25.3,9,0.14800000000000002,857.846,3,3,6,0,PAN,0.257
D12_8,D,M,F,25.3,14,0.05199999999999999,601.332,2,0,12,2,PAN,0.239
D13_14,D,M,M,25.1,17,0.155,892.875,1,1,16,0,PAN,0.163
D13_16,D,M,M,25.1,15,0.13799999999999998,863.842,1,1,14,0,PAN,0.164
D14_20,D,M,F,25.3,0,0.183,0,0,0,0,0,PAN,0.245
D14_24,D,M,F,25.3,18,0.293,834.069,5,4,13,1,PAN,0.193
D21_26,D,H,M,30.6,0,0.10300000000000001,0,0,0,0,0,PAN,0.153
