Fly_Number,Letter,Temp,Sex,temp_room,bouts,PAN_Mass_mg,PAL_Mass_mg,mass_dif,DurTTFencingPAN,DurTTFencingPAL,resolved,losesPAL,losesPAN,drawsPAL,drawsPAN,winsPAL,winsPAN
D13_14,D,M,M,25.1,17,0.163,0.318,0.155,892.875,892.875,1,0,1,16,16,1,0
D13_16,D,M,M,25.1,15,0.164,0.302,0.13799999999999998,863.842,863.842,1,0,1,14,14,1,0
D14_20,D,M,F,25.3,0,0.245,0.428,0.183,0,0,0,0,0,0,0,0,0
D14_24,D,M,F,25.3,18,0.193,0.486,0.293,834.069,833.317,5,1,4,13,13,4,1
D21_26,D,H,M,30.6,0,0.153,0.256,0.10300000000000001,0,0,0,0,0,0,0,0,0
D21_30,D,H,M,30.6,6,0.153,0.281,0.12800000000000003,851.833,851.833,0,0,0,6,6,0,0
D22_32,D,H,F,30.2,2,0.225,0.418,0.19299999999999998,459.436,459.436,0,0,0,2,2,0,0
D22_34,D,H,F,30.2,0,0.284,0.402,0.11800000000000005,0,0,0,0,0,0,0,0,0
D23_39,D,H,M,30.3,8,0.176,0.265,0.08900000000000002,870.343,870.343,0,0,0,8,8,0,0
D23_42,D,H,M,30.3,6,0.172,0.248,0.07600000000000001,894.594,894.594,1,1,0,5,5,0,1
D24_44,D,H,F,30.3,2,0.209,0.37,0.161,608.842,609.586,2,0,2,0,1,2,0
D24_46,D,H,F,30.3,5,0.233,0.448,0.215,877.614,877.614,3,3,0,2,2,0,3
D24_47,D,H,F,30.3,7,0.221,0.417,0.19599999999999998,791.513,791.513,0,0,0,7,7,0,0
D24_48,D,H,F,30.3,4,0.186,0.323,0.137,882.619,882.619,1,0,1,3,3,1,0
D31_53,D,L,M,20.6,6,0.182,0.246,0.064,881.373,881.373,4,0,4,2,2,4,0
D31_54,D,L,M,20.6,3,0.175,0.317,0.14200000000000002,900.003,900.003,0,0,0,3,3,0,0
D32_56,D,L,F,21.1,2,0,0.496,0.496,874.351,874.351,2,0,2,0,0,2,0
D32_57,D,L,F,21.1,9,0.23,0.307,0.07699999999999999,885.844,885.844,6,0,6,3,3,6,0
D32_58,D,L,F,21.1,17,0.222,0.443,0.221,751.486,751.486,2,1,1,15,15,1,1
D32_60,D,L,F,21.1,10,0,0,0,792.03,792.03,7,0,7,3,3,7,0
D33_62,D,L,M,21.1,6,0.17,0,-0.17,750.484,750.986,3,0,3,3,3,3,0
D33_64,D,L,M,21.1,8,0.191,0.317,0.126,759.98,759.98,2,0,2,6,6,2,0
D33_65,D,L,M,21.1,5,0,0,0,855.839,855.839,1,1,0,4,4,0,1
D34_69,D,L,F,21.3,7,0.251,0.413,0.16199999999999998,709.176,709.176,0,0,0,7,6,0,0
A11_5,A,M,F,24.6,2,0,0.432,0.432,19.415,19.415,1,0,1,1,1,1,0
C14_20,C,L,M,20.9,8,0.167,0.336,0.169,898.843,898.843,2,0,2,6,6,2,0
A31_40,A,H,F,30.4,8,0.215,0.474,0.259,666.932,667.438,3,0,3,5,5,3,0
D22_36,D,H,F,30.2,10,0.235,0.415,0.18,814.053,814.053,3,1,2,7,7,2,1
D32_55,D,L,F,21.1,8,0.219,0.496,0.277,473.753,473.753,2,0,2,6,6,2,0
D32_59,D,L,F,21.1,17,0.212,0.402,0.19000000000000003,873.111,873.111,6,0,6,11,11,6,0
A31_39,A,H,F,30.4,1,0.219,0.451,0.232,261.243,260.752,0,0,0,1,1,0,0
B12_6,B,H,F,30.2,2,0.205,0.435,0.23,667.659,667.659,1,0,1,1,1,1,0
D31_49,D,L,M,20.6,1,0.158,0.281,0.12300000000000003,493.003,493.003,1,0,1,0,0,1,0
A21_26,A,L,F,20.9,3,0.218,0.524,0.30600000000000005,879.346,878.351,2,0,2,1,1,2,0
D22_35,D,H,F,30.2,2,0.261,0.466,0.20500000000000002,448.692,448.692,1,0,1,1,1,1,0
B11_1,B,H,M,30.2,0,0.153,0.371,0.218,0,0,0,0,0,0,0,0,0
D23_40,D,H,M,30.3,3,0.168,0.283,0.11499999999999996,368.652,369.4,0,0,0,3,3,0,0
